location_name_clean,temperature_celsius,humidity,precip_mm,wind_kph
's gravenjansdijk,12.903780068728523,75.7594501718213,0.10663230240549829,17.767697594501715
's gravenstaffel,15.5625,80.5,0.18875,17.125
-kingdom,29.7,24.0,0.0,18.4
abu dhabi,31.78802588996764,47.79288025889968,0.00032362459546925567,17.662459546925565
abuja,29.838511326860843,56.35275080906149,0.15488673139158576,8.253721682847896
accra,28.671521035598705,73.90291262135922,0.06190938511326861,15.237864077669903
addis ababa,20.95472312703583,48.0228013029316,0.33977198697068406,12.781758957654723
adkip,26.505000000000003,89.65,0.176,6.279999999999999
airai,27.75433789954338,84.17351598173516,0.38315068493150684,19.130593607305936
algiers,22.795454545454547,57.506493506493506,0.03571428571428571,14.419155844155846
amman,23.26569579288026,37.99029126213592,0.011553398058252428,17.81747572815534
amsterdam,13.090259740259741,75.6948051948052,0.1316883116883117,17.259415584415585
andorra la vella,11.086407766990291,61.05825242718446,0.14171521035598705,9.045631067961164
ankara,18.13538961038961,45.89935064935065,0.04321428571428572,11.566558441558442
antananarivo,25.42718446601942,45.34304207119741,0.11165048543689321,13.727508090614887
apia,25.61606557377049,87.91147540983607,0.35954098360655734,18.8944262295082
ar riyadh,45.0,7.0,0.0,24.5
ashgabat,22.319805194805195,39.10064935064935,0.027889610389610388,12.883441558441557
asmara,21.232686084142394,46.663430420711975,0.1773462783171521,11.592556634304207
astana,7.2178571428571425,65.87987012987013,0.07522727272727273,18.024350649350648
asuncion,13.7,77.0,0.0,10.8
athens,23.47100977198697,45.25407166123779,0.023485342019543973,15.581758957654724
aurora,21.57859778597786,62.03690036900369,0.12025830258302585,9.975645756457565
bafoussam,22.677777777777777,77.72222222222223,0.6633333333333333,5.972222222222222
baghdad,30.692556634304207,25.692556634304207,0.004951456310679612,16.82168284789644
baku,18.879545454545454,59.62987012987013,0.019155844155844155,23.29577922077922
bali,29.3,70.0,0.0,6.5
bamako,29.020064724919095,45.433656957928804,0.10245954692556634,11.996763754045308
ban lom,23.988803088803092,74.59073359073359,0.1805019305019305,5.893436293436293
bandar seri begawan,28.047727272727276,84.00324675324676,0.5769480519480519,7.8603896103896105
bangkok,30.76612377850163,59.85016286644951,0.1443973941368078,11.768729641693811
bangui,31.136688311688314,53.633116883116884,0.14149350649350648,7.247402597402597
banjul,26.83778501628665,60.21824104234528,0.14469055374592835,16.191856677524427
basseterre,27.32703583061889,77.78827361563518,0.1535830618892508,23.56742671009772
beijing,15.667752442996743,46.51791530944625,0.07736156351791532,9.147882736156353
beijing shi,24.3,75.0,0.0,4.7
beirut,23.853571428571428,58.87987012987013,0.045487012987012986,13.674350649350648
belgrade,17.568506493506494,55.35064935064935,0.09467532467532468,12.557142857142857
belmopan,23.03202614379085,95.50653594771242,0.0926797385620915,4.776143790849673
berlin,13.891585760517799,65.23300970873787,0.05912621359223301,14.989320388349514
bern,13.006148867313916,71.34304207119742,0.1825242718446602,7.449838187702265
bishkek,14.645454545454546,51.82142857142857,0.1555844155844156,9.505194805194805
bissau,27.2747572815534,64.3883495145631,0.2610032362459547,12.476699029126214
bogot,18.28831168831169,47.19805194805195,0.09396103896103897,11.430194805194805
bras,25.775328947368422,74.80263157894737,0.16644736842105265,4.883552631578947
bratislava,14.987662337662337,62.493506493506494,0.09425324675324676,14.800324675324676
brazzaville,29.277272727272727,62.714285714285715,0.2018831168831169,7.408766233766234
bridgetown,27.560586319218242,80.05537459283387,0.15970684039087948,23.83583061889251
brussels,12.885389610389609,75.59415584415585,0.08457792207792209,15.239610389610391
bucharest,17.914285714285715,51.80194805194805,0.03448051948051948,12.12435064935065
budapest,16.041233766233766,57.785714285714285,0.060487012987012985,11.45974025974026
buenos aires,15.149837133550488,81.0456026058632,0.07029315960912051,10.770684039087948
bujumbura,27.411326860841424,56.055016181229774,0.19245954692556633,10.833980582524271
cairo,27.751623376623378,37.52272727272727,0.0008766233766233767,15.933116883116883
canberra,12.508116883116884,75.41558441558442,0.07542207792207792,10.78961038961039
caracas,23.03202614379085,80.60457516339869,0.06846405228758169,5.533006535947712
carreria,29.518181818181816,35.0,0.0,15.20909090909091
castries,27.465146579804557,80.76547231270358,0.17661237785016287,19.10097719869707
chi chi khvar,16.357328990228012,32.726384364820845,0.03501628664495114,15.345276872964169
city of san marino,31.3,55.0,0.0,19.1
colombo,29.490584415584415,75.25,0.5384740259740259,16.337987012987014
conakry,26.933656957928804,79.4789644012945,0.38401294498381877,11.013915857605179
copenhagen,11.980194805194806,74.62662337662337,0.09866883116883117,19.8987012987013
costa rica,23.1,95.0,0.05,6.5
dakar,25.71650485436893,70.37216828478964,0.034724919093851135,20.124271844660193
damascus,24.577272727272728,30.467532467532468,0.013831168831168831,15.953571428571427
dhaka,29.96233766233766,50.33766233766234,0.27685064935064935,14.686038961038962
dhidhdhoo,27.829520295202954,75.31734317343174,0.28195571955719556,18.89741697416974
dili,25.865798045602606,77.29641693811075,0.39009771986970687,9.015960912052117
djibouti,32.071335504885994,54.62214983713355,0.038436482084690554,18.052768729641695
dodoma,27.802912621359223,42.15210355987055,0.05964401294498382,11.998381877022654
doha,32.06038961038961,42.39935064935065,0.0007142857142857143,18.83149350649351
douala,27.6,80.0,0.9,13.0
dublin,11.617207792207791,77.8409090909091,0.1285714285714286,17.389935064935067
dushanbe,21.241883116883116,38.142857142857146,0.035422077922077924,7.588961038961039
felidhoo,28.79705882352941,78.94117647058823,0.3297058823529412,27.26764705882353
freetown,26.980130293159608,77.08469055374593,0.4827687296416938,9.925081433224756
